Scheme	Value	Meaning
SRT 	G-A100 	Right
SRT 	G-A101 	Left
SRT 	G-A102 	Bilateral
SRT 	G-A103 	Unilateral
SRT 	G-A104 	Lateral
SRT 	G-A105 	Anterior
SRT 	G-A106 	Posterior
SRT 	G-A107 	Cephalic
SRT 	G-A108 	Caudal
SRT 	G-A109 	Medial
SRT 	G-A110 	Central
SRT 	G-A111 	Peripheral
SRT 	G-A112 	External
SRT 	G-A113 	Internal
SRT 	G-A114 	Intermediate
SRT 	G-A115 	Inferior
SRT 	G-A116 	Superior
SRT 	G-A117 	Transverse
SRT 	G-A118 	Proximal
SRT 	G-A119 	Distal
SRT 	G-A120 	Postaxial
SRT 	G-A121 	Preaxial
SRT 	G-A122 	Apical
SRT 	G-A123 	Basal
SRT 	G-A127 	Afferent
SRT 	G-A128 	Efferent
SRT 	G-A138 	Coronal
SRT 	G-A139 	Superficial
SRT 	G-A140 	Deep
SRT 	G-A142 	Horizontal
SRT 	G-A143 	Longitudinal
SRT 	G-A144 	Vertical
SRT 	G-A145 	Sagittal
SRT 	G-A147 	Axial
SRT 	G-A151 	Extra-articular
SRT 	G-A168 	Surface
SRT 	G-A169 	Gutter
SRT 	G-A170 	Hilar
SRT 	G-A171 	Capsular
SRT 	G-A172 	Subcapsular
SRT 	G-A174 	Edge
SRT 	G-A180 	Anterolateral
SRT 	G-A182 	Posterolateral
SRT 	G-A15A 	Intra-articular
SRT 	G-A428 	Marginal 
